No,Deskripsi,Nominal
September 2024,sisa gopay,Rp141
Oktober 2024,bunga,Rp9.088
Januari 2025,bunga,Rp7.500
Februari 2025,Amanda titip 25 - kurang 200 rb,Rp25.000
Maret 2025,dari shopee,Rp116.430
Maret 2025,dari ayang,Rp200.000
Maret 2025,paid,Rp25.000
Maret 2025,uang rian,Rp104.000
Maret 2025,sempak,Rp57.612
Juli 2025,bayar,Rp6.327.304
September 2025,bayar,Rp4.029.027
September 2025,bayar,Rp20.000
Oktober 2025,bayar,Rp5.000.000
Oktober 2025,bayar,Rp1.326.095
Oktober 2025,bayar,Rp140.000
Oktober 2025,bayar,Rp40.000
