No,Deskripsi,Nominal
Agustus 2024,Iklan,Rp66.000
Agustus 2024,Iklan,Rp10.000
Agustus 2024,Iklan,Rp59.926
Agustus 2024,Iklan,Rp21.999
Agustus 2024,Iklan,Rp66.000
Agustus 2024,Iklan,Rp44.000
Agustus 2024,Iklan,Rp95.903
Agustus 2024,Iklan,Rp96.716
Agustus 2024,Admin Bank,Rp27.000
Agustus 2024,Iklan,Rp65.980
Agustus 2024,Iklan,Rp9.800
Agustus 2024,Iklan,Rp44.000
Agustus 2024,Iklan,Rp91.008
September 2024,iklan,Rp108.027
September 2024,iklan,Rp110.000
September 2024,iklan,Rp110.000
September 2024,iklan,Rp154.000
September 2024,iklan,Rp88.000
Oktober 2024,iklan,Rp88.000
Oktober 2024,admin,Rp105
Oktober 2024,belum,Rp128.894
Oktober 2024,belum,Rp88.000
November 2024,admin,Rp24.901
November 2024,iklan,Rp142.953
Januari 2025,web,Rp18.483
Januari 2025,tarik,Rp7.230.000
Januari 2025,tarik,Rp1.000.000
Januari 2025,iklan,Rp219.253
Januari 2025,kuota,Rp150.000
Januari 2025,iklan,Rp17.500
Februari 2025,iklan,Rp125.463
Februari 2025,iklan,Rp86.697
Februari 2025,iklan,Rp111.000
Februari 2025,iklan,Rp30.576
Februari 2025,iklan,Rp128.407
Februari 2025,tarik tunai,Rp500.000
Februari 2025,kuota dzaky,Rp26.000
Februari 2025,iklan,Rp65.675
Februari 2025,carger,Rp116.430
Februari 2025,tripod,Rp44.000
Februari 2025,carger (double transaksi),Rp103.900
Februari 2025,kuota modem,Rp126.388
Februari 2025,kuota,Rp25.000
Maret 2025,admin,Rp4.130
Maret 2025,kuota,Rp35.520
Maret 2025,kuota,Rp48.000
Maret 2025,permata,Rp88.000
Maret 2025,kota ayang,Rp120.000
Maret 2025,obat,Rp51.965
Maret 2025,kota ayang,Rp40.500
Maret 2025,iklan,Rp129.152
Maret 2025,buku,Rp74.250
Maret 2025,buku,Rp11.360
Maret 2025,buku,Rp9.990
Maret 2025,admin,Rp15.000
Maret 2025,kuota,Rp100.000
Maret 2025,iklan,Rp198.142
Maret 2025,kuota,Rp30.000
Maret 2025,admin bank,Rp16.993
Maret 2025,tambahan latifa,Rp30.000
April 2025,kopi bang idho,Rp120.000
April 2025,belanja,Rp31.000
April 2025,belanja,Rp44.615
April 2025,belanja,Rp43.600
April 2025,belanja,Rp10.000
April 2025,belanja,Rp105.228
April 2025,belanja,Rp10.000
April 2025,belanja,Rp7.000
April 2025,belanja,Rp63.000
April 2025,belanja,Rp100.000
Mei 2025,belanja,Rp30.000
Mei 2025,belanja,Rp10.000
Mei 2025,belanja,Rp13.000
Mei 2025,belanja,Rp100.000
Mei 2025,belanja,Rp19.900
Mei 2025,belanja,Rp59.800
Mei 2025,belanja,Rp10.000
Mei 2025,belanja,Rp32.246
Mei 2025,belanja,Rp27.950
Mei 2025,belanja,Rp35.520
Mei 2025,belanja,Rp14.985
Mei 2025,belanja,Rp15.240
Mei 2025,belanja,Rp20.039
Mei 2025,belanja,Rp100.000
Mei 2025,belanja,Rp51.000
Mei 2025,belanja,Rp153.000
Mei 2025,belanja,Rp30.040
Mei 2025,belanja,Rp59.800
Mei 2025,belanja,Rp100.000
Mei 2025,belanja,Rp50.000
Mei 2025,belanja,Rp30.000
Mei 2025,belanja,Rp19.411.300
Juni 2025,belanja,Rp10.000
Juni 2025,belanja,Rp35.520
Juni 2025,belanja,Rp23.474
Juni 2025,belanja,Rp5.000
Juni 2025,belanja,Rp100.000
Juni 2025,belanja,Rp54.572
Juni 2025,belanja,Rp100.000
Juni 2025,belanja,Rp6.500
Juni 2025,belanja,Rp500.000
Juni 2025,belanja,Rp25.000
Juni 2025,belanja,Rp150.000
Juni 2025,belanja,Rp100.000
Juni 2025,belanja,Rp50.000
Juni 2025,belanja,Rp2.618
Juni 2025,belanja,Rp11.077
Juni 2025,belanja,Rp20.141
Juni 2025,belanja,Rp10.473
Juni 2025,belanja,Rp20.141
Juni 2025,belanja,Rp15.000
Juni 2025,belanja,Rp102.500
Juni 2025,belanja,Rp101.500
Juni 2025,belanja,Rp50.000
Juni 2025,belanja,Rp28.000
Juni 2025,belanja,Rp119.710
Juli 2025,bayar kosan,Rp1.300.000
Juli 2025,admin bank di potong bunga,Rp4.306
Juli 2025,iuran galon,Rp120.000
Juli 2025,mam moca moci,Rp40.000
Juli 2025,tarik tunai,Rp100.900
Juli 2025,kuota,Rp26.165
Juli 2025,admin,Rp5.000
Juli 2025,etol,Rp101.000
Juli 2025,kabel,Rp31.100
Juli 2025,tarik tunai,Rp250.000
Juli 2025,tes pack,Rp24.000
Juli 2025,bubur ayam,Rp35.200
Juli 2025,admin,Rp5.000
Juli 2025,pijat,Rp256.250
Juli 2025,bensin,Rp282.000
Juli 2025,seliih,Rp58.675
Juli 2025,iklan,Rp131.309
Juli 2025,warkop agam,Rp131.000
Juli 2025,point cofee,Rp20.000
Juli 2025,tarik tunai,Rp250.000
Juli 2025,isi shopee,Rp100.000
Juli 2025,tes pack,Rp34.200
Juli 2025,google drive,Rp35.520
Juli 2025,ikan bakar,Rp97.900
Juli 2025,ikan,Rp29.000
Juli 2025,listrik,Rp51.500
Juli 2025,pijit,Rp225.000
Juli 2025,tarik tunai,Rp200.000
Juli 2025,sepion dan wipwr,Rp130.925
Juli 2025,jajan,Rp20.000
Juli 2025,booking Rumah Alexandria Blok G1,Rp1.000.000
Juli 2025,kuota,Rp70.000
Juli 2025,tarik tunai,Rp250.000
Juli 2025,admin,Rp15.000
Juli 2025,admin,Rp9.500
Juli 2025,admin,Rp18.000
Juli 2025,hutang sopee,Rp3.250.000
Juli 2025,tarik tunai,Rp250.000
Juli 2025,pb,Rp38.000
Juli 2025,pb,Rp15.000
Juli 2025,me ayam,Rp26.000
Juli 2025,gopay,Rp16.000
Juli 2025,kuota,Rp34.000
Juli 2025,kuota,Rp149.000
